objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
color1967photo,Porter High School State Champion Girls Basketball Team 1967,Stephanie Thompson,1967,Porter High School Tennessee State Champion Girls Basketball Team 1967. Galen Johnson - Coach. Team photo with trophy. In color.,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Blount County, Tennessee",35.6711,-83.8473,"Stephanie Thompson, YouTube,Porter High School (Maryville, TN) 1967 Girls' Basketball State Championship Game vs Waverly - YouTube ",color1967photo.jpg,image;stillimage,image/jpg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/color1967photo.jpg,/objects/small/color1967photo_sm.jpg,/objects/thumbs/color1967photo_th.jpg,Formal photograph of Porter High School State Champion Girls Basketball team in gold blazers and their coach Galen Johnson and the State Trophy; Porter High School building in the background.,
1963photo,Porter High School State Champion Girls Basketball Team 1963,Stephanie Thompson,1963,Informal photo of coach Galen Johnson and the 1963 Porter High School Tennessee State Girls Basketball team. Black and White photo,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Murfreesboro, Tennessee",35.8456,-86.3903,"Stephanie Thompson, YouTube, Porter High School (Maryville, TN) Girls' Basketball 1963 State Championship vs Walland High School - YouTube",1963photo.jpg,image;stillimage,image/jpg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/1963photo.jpg,/objects/small/1963photo_sm.jpg,/objects/thumbs/1963photo_th.jpg,Informal black and white photograph of 1963 Porter High School State Champion Girls basketball team and coach Galen Johnson. Taken after the winning game.,
scrapbookimage,1966 -67 Scrapbook page of Porter High School Girls Basketball team,,1967,A color photograph of a page out of scrapbook. The photo shows the 1967 Porter HS girls basketball team and state champions.,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Blount County, Tennessee",35.6711,-83.8473,"The Daily Times Newspaper, https://www.thedailytimes.com/z_hub_styles/mdt_special/porter-pantherettes-set-national-high-school-record/article_7bfefc58-49bf-5c4c-92d0-90054243b69e.html",scrapbookimage.jpg,image;stillimage,image/jpg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/scrapbookimage.jpg,/objects/small/scrapbookimage_sm.jpg,/objects/thumbs/scrapbookimage_th.jpg,Color photograph of a scrapbook page. Photo show the 1967 state champion girls basketball team from Porter High School and coach Galen Johnson.,
news_article,"""Coach Galen Johnson built girls' basketball power""
",John Shearer,2012,A newspaper article about the Galen Johnson and his coaching career upon his death.,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Knoxville, Tennessee",35.96594,-83.9489,"Knoxville News Sentinel, https://archive.knoxnews.com/sports/high-school/coach-galen-johnson-built-girls-basketball-power-ep-360288614-356791541.html/","news_article, https://archive.knoxnews.com/sports/high-school/coach-galen-johnson-built-girls-basketball-power-ep-360288614-356791541.html/",text,text/html,eng,News Sentinel Newspaper,http://rightsstatements.org/vocab/InC-EDU/1.0/,text,https://archive.knoxnews.com/sports/high-school/coach-galen-johnson-built-girls-basketball-power-ep-360288614-356791541.html/,,,"A news article detailing Galen Johnson's coaching career, entitled ""Coach Galen Johnson built girls' basketball power.""",
reunion_article,"""Porter Pantherettes Set National High School Record""",The Daily Times,2018,A newspaper article about the Porter High School girls basketball teams in the 1960s coached by Galen Johnson. The article details a reunion and celebration.,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Maryville, Tennessee",35.76261,-83.97229,"The Daily Times Newspaper, https://www.thedailytimes.com/z_hub_styles/mdt_special/porter-pantherettes-set-national-high-school-record/article_7bfefc58-49bf-5c4c-92d0-90054243b69e.html",reunion_articlehttps://www.thedailytimes.com/z_hub_styles/mdt_special/porter-pantherettes-set-national-high-school-record/article_7bfefc58-49bf-5c4c-92d0-90054243b69e.html,text,text/html,eng,The Daily Times,http://rightsstatements.org/vocab/InC-EDU/1.0/,text,https://www.thedailytimes.com/z_hub_styles/mdt_special/porter-pantherettes-set-national-high-school-record/article_7bfefc58-49bf-5c4c-92d0-90054243b69e.html,,,"A news article discussing the 2018 Porter High School basketball reunion. Teams from the 1960s gathered and recounted their times playing together and remembrances of Coach Galen Johnson. The title is ""Porter Pantherettes Set National High School Record.""",
hall_fame_page,"Biography page for Johnson, Jr., Galen W.",Tennessee Sports Hall of Fame,2015,Coach Galen Johnson's biography page on the Tennessee Sports Hall of Fame website.,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Nashville, Tennessee",36.1601,-86.77896,The Tennessee Sports Hall of Fame,hall_fame_page,text,text/html,eng,The Tennessee Sports Hall of Fame,http://rightsstatements.org/vocab/InC-EDU/1.0/,text,https://tshf.net/halloffame/galen-w-johnson-jr/,,,Coach Galen Johnson's official biography on the Tennessee Sports Hall of Fame website.,
1959_video,Porter High School Girls Basketball 1959 State Championship,Stephanie Thompson,1959,"Porter High School (Maryville, TN) Girls Basketball team vs Smithville High School, Smithville, TN in the 1959 TSSAA State Championship Game played at Middle Tennessee State University in Murfreeshboro, TN. Black and white video. 37 minutes & 25 seconds.",basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Murfreesboro, Tennessee",35.8456,-86.3903,"Stephanie Thompson, YouTube, Porter High School (Maryville, TN) Girls' Basketball 1959 State Championship - YouTube",1959_video,image;movingimage,video/mp4,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,video,https://www.youtube.com/watch?v=dFvKrUjfD4g,https://img.youtube.com/vi/dFvKrUjfD4g/maxresdefault.jpg,https://img.youtube.com/vi/dFvKrUjfD4g/hqdefault.jpg,The game film from the 1959 championship game. The Porter High School Panterettes vs. Smithville High School. Original black and white film has been digitalized. 37 minutes & 25 seconds.,
1963_video,Porter High School Girls' Basketball 1963 State Championship vs Walland High School,Stephanie Thompson,1963,"Porter High School, (Maryville, TN) Girls' Basketball team vs Walland High School, met for the 5th time that season in the 1963 Tennessee State Girls' Basketball Championship Game. Playing a 6 on 6 half court game. Porter was coached by Galen Johnson, Jr. and Walland coached by A.J. Wilson. Black and white video. 52 minutes & 6 seconds.",basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Murfreesboro, Tennessee",35.8456,-86.3903,"Stephanie Thompson, Porter High School (Maryville, TN) Girls' Basketball 1963 State Championship vs Walland High School - YouTube",1963_video,image;movingimage,video/mp4,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,video,https://www.youtube.com/watch?v=jgG5riF1eVo,https://img.youtube.com/vi/jgG5riF1eVo/maxresdefault.jpg,https://img.youtube.com/vi/jgG5riF1eVo/hqdefault.jpg,The game film from the 1963 championship game. The Porter High School Panterettes vs. Walland High School. Original black and white film has been digitalized. 52 minutes & 6 seconds.,
1967_video,Porter High School 1967 Girls' Basketball State Championship Game vs Waverly,Stephanie Thompson,1967,Porter High School 1967 Girls' Tennessee State Championship Basketball game vs Waverly. Six on six half-court girls' basketball at its best before classification based on size of school. Black and white video. 40 minutes & 22 seconds.,basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Murfreesboro, Tennessee",35.8456,-86.3903,"Stephanie Thompson, Porter High School (Maryville, TN) 1967 Girls' Basketball State Championship Game vs Waverly - YouTube",1967_video,image;movingimage,video/mp4,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,video,https://www.youtube.com/watch?v=chpJn1PulU4,https://img.youtube.com/vi/chpJn1PulU4/maxresdefault.jpg,https://img.youtube.com/vi/chpJn1PulU4/hqdefault.jpg,The game film from the 1967 championship game. The Porter High School Panterettes vs. Waverly High School. Original black and white film has been digitalized. 40 minutes & 22 seconds.,
1969_video,Porter High School Girls Basketball 1969 State Championship Game vs Franklin County.,Stephanie Thompson,1969,"Porter High School (Maryville, TN) Girls' Basketball State Championship Game in 1969 vs Franklin County, TN.  Six on six half court girls' basketball finals for the State of Tennessee. Color video. 41 minutes & 29 seconds.",basketball; 1960s; galen johnson; womens basketball; porter high school; tennessee,"Murfreesboro, Tennessee",35.8456,-86.3903,"Stephanie Thompson,Porter High School (Maryville, TN) Girls Basketball 1969 State Championship Game vs Franklin County. - YouTube ",1969_video,image;movingimage,video/mp4,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,video,https://www.youtube.com/watch?v=TIGVIjiqxAc,https://img.youtube.com/vi/TIGVIjiqxAc/maxresdefault.jpg,https://img.youtube.com/vi/TIGVIjiqxAc/hqdefault.jpg,The game film from the 1969 championship game. The Porter High School Panterettes vs. Franklin County High School. Original color film has been digitalized. 41 minutes & 29 seconds.,
